experiment,run,round,persona,participation_rate,support_no_action_rate,opposition_rate,neutral_rate,participation_count,support_no_action_count,opposition_count,neutral_count,total_agents
experiment_2,4,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,4,2,B_prime,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_2,4,3,ALL,0.1200,0.1200,0.0000,0.7600,6,6,0,38,50
experiment_2,4,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,4,3,C,0.8571,0.1429,0.0000,0.0000,6,1,0,0,7
experiment_2,4,3,B_prime,0.0000,0.1429,0.0000,0.8571,0,5,0,30,35
experiment_2,4,4,ALL,0.2400,0.1000,0.0000,0.6600,12,5,0,33,50
experiment_2,4,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,4,4,C,0.8571,0.1429,0.0000,0.0000,6,1,0,0,7
experiment_2,4,4,B_prime,0.1714,0.1143,0.0000,0.7143,6,4,0,25,35
experiment_2,4,5,ALL,0.3200,0.1400,0.0000,0.5400,16,7,0,27,50
experiment_2,4,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,4,5,C,0.1429,0.8571,0.0000,0.0000,1,6,0,0,7
experiment_2,4,5,B_prime,0.4286,0.0286,0.0000,0.5429,15,1,0,19,35
experiment_2a,4,1,ALL,0.1400,0.0000,0.0000,0.8600,7,0,0,43,50
experiment_2a,4,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,4,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,4,1,B_prime,0.0000,0.0000,0.0000,1.0000,0,0,0,35,35
experiment_2a,4,2,ALL,0.6000,0.0000,0.0000,0.4000,30,0,0,20,50
experiment_2a,4,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,4,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,4,2,B_prime,0.6571,0.0000,0.0000,0.3429,23,0,0,12,35
experiment_2a,4,3,ALL,0.2400,0.0000,0.0000,0.7600,12,0,0,38,50
experiment_2a,4,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,4,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,4,3,B_prime,0.1429,0.0000,0.0000,0.8571,5,0,0,30,35
experiment_2a,4,4,ALL,0.4600,0.0400,0.0000,0.5000,23,2,0,25,50
experiment_2a,4,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
